date,action,rule,interface_in,ipsrc,ipdst,proto,portsrc,portdst,year,month,day,timestamp,portsrc_range,portdst_range,hour,ipsrc_class,ipdst_class,isprivatesrc,isprivatedst
2024-03-10 14:40:46,PERMIT,3.0,eth0,10.0.0.1,172.17.0.2,TCP,63008.0,20.0,2024,3,10,14:40:46,Dynamic,well-known,14,A,B,Private,Private
2024-03-10 14:40:46,PERMIT,3.0,eth0,192.168.4.1,172.17.0.2,TCP,63008.0,20.0,2024,3,10,14:40:46,Dynamic,well-known,14,C,B,Private,Private
2024-03-10 14:40:46,PERMIT,3.0,eth0,172.156.2.26,172.17.0.2,TCP,63008.0,20.0,2024,3,10,14:40:46,Dynamic,well-known,14,B,B,Private,Private
2024-03-10 14:40:46,PERMIT,3.0,eth0,192.168.1.0,172.17.0.2,TCP,63008.0,20.0,2024,3,10,14:40:46,Dynamic,well-known,14,C,B,Private,Private
2024-03-10 14:40:46,PERMIT,3.0,eth0,172.17.0.3,172.17.0.2,TCP,63008.0,20.0,2024,3,10,14:40:46,Dynamic,well-known,14,B,B,Private,Private
2024-03-10 14:40:46,DENY,34.0,eth0,10.172.11.2,172.17.0.2,TCP,63008.0,56524.0,2024,3,10,14:40:46,Dynamic,Dynamic,14,A,B,Private,Private
2024-03-10 14:40:48,DENY,34.0,eth0,172.5.2.8,172.17.0.2,TCP,63008.0,64654.0,2024,3,10,14:40:48,Dynamic,Dynamic,14,B,B,Private,Private
2024-03-10 14:40:48,PERMIT,7.0,eth0,10.0.0.1,172.17.0.2,TCP,63008.0,50217.0,2024,3,10,14:40:48,Dynamic,Dynamic,14,A,B,Private,Private
2024-03-10 14:40:48,PERMIT,7.0,eth0,192.168.4.1,172.17.0.2,TCP,63008.0,50217.0,2024,3,10,14:40:48,Dynamic,Dynamic,14,C,B,Private,Private
2024-03-10 14:40:48,PERMIT,7.0,eth0,172.156.2.26,172.17.0.2,TCP,63008.0,50217.0,2024,3,10,14:40:48,Dynamic,Dynamic,14,B,B,Private,Private
2024-03-10 14:40:48,PERMIT,7.0,eth0,192.168.1.0,172.17.0.2,TCP,63008.0,50217.0,2024,3,10,14:40:48,Dynamic,Dynamic,14,C,B,Private,Private
2024-03-10 14:40:48,PERMIT,7.0,eth0,172.17.0.3,172.17.0.2,TCP,63008.0,50217.0,2024,3,10,14:40:48,Dynamic,Dynamic,14,B,B,Private,Private
2024-03-10 14:41:19,DENY,34.0,eth0,10.0.0.1,172.17.0.2,TCP,47562.0,199.0,2024,3,10,14:41:19,Registered,well-known,14,A,B,Private,Private
2024-03-10 14:41:19,DENY,34.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,199.0,2024,3,10,14:41:19,Registered,well-known,14,C,B,Private,Private
2024-03-10 14:41:19,DENY,34.0,eth0,172.156.2.26,172.17.0.2,TCP,47562.0,199.0,2024,3,10,14:41:19,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:41:19,DENY,34.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,199.0,2024,3,10,14:41:19,Registered,well-known,14,C,B,Private,Private
2024-03-10 14:41:19,DENY,34.0,eth0,10.10.1.101,172.17.0.2,TCP,47562.0,199.0,2024,3,10,14:41:19,Registered,well-known,14,A,B,Private,Private
2024-03-10 14:41:19,PERMIT,5.0,eth0,10.0.0.1,172.17.0.2,TCP,47562.0,3306.0,2024,3,10,14:41:19,Registered,Registered,14,A,B,Private,Private
2024-03-10 14:41:19,PERMIT,5.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,3306.0,2024,3,10,14:41:19,Registered,Registered,14,C,B,Private,Private
2024-03-10 14:41:19,PERMIT,5.0,eth0,172.156.2.26,172.17.0.2,TCP,47562.0,3306.0,2024,3,10,14:41:19,Registered,Registered,14,B,B,Private,Private
2024-03-10 14:41:19,PERMIT,5.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,3306.0,2024,3,10,14:41:19,Registered,Registered,14,C,B,Private,Private
2024-03-10 14:41:19,PERMIT,5.0,eth0,10.10.1.101,172.17.0.2,TCP,47562.0,3306.0,2024,3,10,14:41:19,Registered,Registered,14,A,B,Private,Private
2024-03-10 14:41:19,PERMIT,3.0,eth0,10.0.0.1,172.17.0.2,TCP,47562.0,21.0,2024,3,10,14:41:19,Registered,well-known,14,A,B,Private,Private
